id,location,supplier,product,name,stationNumbers,taktTime,stationSwapTime,poolmachines,costFactor,inputBuffer,poolEmployeesS1,poolEmployeesS2,poolEmployeesS3,resourceType
d7d8b022_4cfc_43a5_b816_f15b8212311d,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,ec22b3fb_399e_40fc_a16f_a358a9f02ff0,Algiers S2 Top Shell,1,5,30,1,0.6,168,1,1,1,2
f6ab0b67_79f7_4e25_b26b_c9da5c09a911,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,6b6e4fad_8ec1_476a_9954_9d94d1950142,Algiers S234 Modules,1,5,30,1,0.6,168,1,1,1,2
549336fd_173f_4fd0_8882_bbf2c960a2df,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,5960a38d_1663_45ad_9bfd_64fa30081634,Algiers S3 Left Shell,1,5,30,1,0.6,168,1,1,1,2
6a5ebd6d_f63f_4087_a694_d14ba9112ff3,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,6383eea1_bfae_4d34_8b00_001f6e794edb,Algiers S3 Lower Shell,1,5,30,1,0.6,168,1,1,1,2
4228e5f5_5a1c_4c34_ab60_ae4d462df947,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,afd39515_4bca_4de2_b764_e1a10fc0252f,Algiers S3 Right Shell,1,5,30,1,0.6,168,1,1,1,2
e68a23d1_cc90_44ba_a894_513a635cf398,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,f8e9fd6c_448f_48cc_a1c6_b6059452eaa1,Algiers S3 Top Shell,1,5,30,1,0.6,168,1,1,1,2
f50503dd_ecfa_42a7_b4e6_45495c6e75a9,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,ad9dc001_c59a_46e0_a7c4_dd9db4bd283f,Algiers S4 Left Shell,1,5,30,1,0.6,168,1,1,1,2
52e15f29_559b_4ccf_a523_ceeb4dc46d6d,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,19bc042a_821e_452f_a147_7ae77ef538cf,Algiers S4 Lower Shell,1,5,30,1,0.6,168,1,1,1,2
5b939a29_cfe7_4c3e_a763_15ee56293086,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,c0a38271_8a90_4a08_86d4_a5e831461e8c,Algiers S4 Right Shell,1,5,30,1,0.6,168,1,1,1,2
6e4902bf_c9ec_40d6_8ec8_40e1171f6dbb,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,5086ebda_8248_421b_9e69_d6bcc5188591,Algiers S4 Top Shell,1,5,30,1,0.6,168,1,1,1,2
b705408d_8127_4efe_a0a0_16cc9ab45b20,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,cd30834c_fb32_4465_8ff7_73c33a0c2ebf,Algiers S5 Left Shell,1,5,30,1,0.6,168,1,1,1,2
1a6bb531_8de1_4b07_b1e5_f9c456e62b31,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,ec2f92f3_1c85_4d20_9bae_907b4e21e16a,Algiers S5 Lower Shell,1,5,30,1,0.6,168,1,1,1,2
01ec0a10_33d1_436b_b81e_eb20298ab7e3,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,a4c92248_147a_4e21_8367_c3b9f913a5d8,Algiers S5 Right Shell,1,5,30,1,0.6,168,1,1,1,2
f4bb24fb_480e_4745_9daa_269a64fb4200,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,86a3b8d3_5958_43c1_8712_95240e57df64,Algiers S5 Top Shell,1,5,30,1,0.6,168,1,1,1,2
133a05b0_a1df_473b_94a4_ccac56ec8177,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,8fc3796f_081a_438a_b40f_d906337783bb,Algiers S56 Modules,1,5,30,1,0.6,168,1,1,1,2
fa21e650_b236_463f_86fe_294987be9abd,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,9fae5e64_78d2_44a2_a40e_762965fcbd4c,Algiers S6 Lower Shell,1,5,30,1,0.6,168,1,1,1,2
50c05ebf_f5f6_4112_887c_c5a56bfe9026,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,74bb6719_1573_4196_9b57_2122b6f27365,Algiers S6 Upper Shell,1,5,30,1,0.6,168,1,1,1,2
74258bda_921a_44dc_bd93_9b14eb11ab14,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,91e81215_5fed_40a1_bb1e_92f1cc74c967,Algiers Section 2,1,5,30,1,0.6,168,1,1,1,5
62964687_5cd9_494c_a398_47b490cbab08,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,4703c740_ad2b_4b53_b472_8648aa9873b7,Algiers Section 234,1,5,30,1,0.6,168,1,1,1,5
c01f9ab2_0adb_4c6e_94c3_9747451020dd,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,11ae1deb_194b_4bb2_b8bc_f860d5d90238,Algiers Section 3,1,5,30,1,0.6,168,1,1,1,5
be62f9af_5007_40e3_bf4f_fc7b2e151625,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,e138aee8_ddcb_4849_b7c3_fbbd08448745,Algiers Section 4,1,5,30,1,0.6,168,1,1,1,5
da430a7c_2bcf_4170_ba2a_9c51f50d449b,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,01480973_ec50_4293_ad93_d62285fd5b62,Algiers Section 5,1,5,30,1,0.6,168,1,1,1,5
68a7da50_baa6_4e01_abf0_d53f38e23ffd,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,c1ead980_7709_4e21_b183_b229044a4643,Algiers Section 56,1,5,30,1,0.6,168,1,1,1,5
820ddf87_aa5a_4ae2_bf76_2eabb28f85d6,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,d2477294_9f95_438e_8228_4ca957aa70e1,Algiers Section 6,1,5,30,1,0.6,168,1,1,1,5
5f71880c_5a17_460c_8492_d4f8a8d14684,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,fb3b1814_469e_4920_8bfc_6463034eaa90,Algiers Sharklet Left,1,5,30,1,0.6,168,1,1,1,2
1d5d95fa_42bb_4ecd_8e9c_53ea143d975d,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,bb4ed4f1_acc5_4ebe_a19c_91d4bc8edef5,Algiers Sharklet Right,1,5,30,1,0.6,168,1,1,1,2
e7f6ec07_aa9d_437f_aef7_a497c8b61d9b,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,955db4b6_eb53_4f70_be90_a87eee27fcf3,Augsburg Belly Fairing,1,5,30,1,1,168,1,1,1,2
d86a0024_82b1_4dab_93fe_eda5e5d6f97f,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,a4b66a63_f55d_4809_9b9f_c9746badc003,Augsburg Center Wingbox,1,5,30,1,1,168,1,1,1,2
cb6046d0_9867_4d44_9863_fd1878046110,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,f581ed68_62e6_4946_af02_ed84d4ad1c13,Augsburg Pylon Left,1,5,30,1,1,168,1,1,1,2
36c17c28_a513_4718_a503_38a9b8782ec3,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,52d8bc7c_3195_4a9e_b6c1_03c687d36794,Augsburg Pylon Right,1,5,30,1,1,168,1,1,1,2
34fe1431_28f5_417a_92b7_39e37268c399,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,d613cd61_1d3c_430b_92e8_c8529b30315e,Augsburg S1 Lower Shell,1,5,30,1,1,168,1,1,1,2
9895a10a_5420_4107_b2d9_3e440ade1378,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,1dbe71c3_de17_48e2_ab8c_78fbc2a4d6d4,Augsburg S1 Modules,1,5,30,1,1,168,1,1,1,2
a1a72587_86d7_4c17_996d_afc99eb0d641,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,def1aa1d_ca7d_4820_98a5_cd16b7ed3632,Augsburg S1 Upper Shell,1,5,30,1,1,168,1,1,1,2
55908310_7f39_45ce_bbc6_5aac80ac5fdb,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,f720d6ce_b29a_4e33_80d0_8423d6386743,Augsburg S2 Left Shell,1,5,30,1,1,168,1,1,1,2
32a30f95_3151_4aed_b604_c6d8e94b8f23,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,bdcdece2_daa9_403f_a491_9887a5345a80,Augsburg S2 Lower Shell,1,5,30,1,1,168,1,1,1,2
d52da1ee_e0f8_4ee3_8313_ac8444f57e1a,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,f5663589_dba2_4894_96d5_9432b2c9f6bb,Augsburg S2 Right Shell,1,5,30,1,1,168,1,1,1,2
07a1b33d_c5ef_483d_93b4_82b4c010dd12,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,ec22b3fb_399e_40fc_a16f_a358a9f02ff0,Augsburg S2 Top Shell,1,5,30,1,1,168,1,1,1,2
f5fcc5e4_665b_48c9_bf69_1278357df91d,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,6b6e4fad_8ec1_476a_9954_9d94d1950142,Augsburg S234 Modules,1,5,30,1,1,168,1,1,1,2
6c304058_8223_42c2_986d_3a203bd79597,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,5960a38d_1663_45ad_9bfd_64fa30081634,Augsburg S3 Left Shell,1,5,30,1,1,168,1,1,1,2
ca11be0f_e0e5_4a16_9cb2_ffc7fe38f2a2,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,6383eea1_bfae_4d34_8b00_001f6e794edb,Augsburg S3 Lower Shell,1,5,30,1,1,168,1,1,1,2
2c75da07_1c99_4278_9a74_e86cd3fea45f,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,afd39515_4bca_4de2_b764_e1a10fc0252f,Augsburg S3 Right Shell,1,5,30,1,1,168,1,1,1,2
e6c6cf19_cbe3_4b86_a0a8_1487c603d3a9,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,f8e9fd6c_448f_48cc_a1c6_b6059452eaa1,Augsburg S3 Top Shell,1,5,30,1,1,168,1,1,1,2
66bba27f_9624_4c74_8e7a_1bb22d51628d,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,ad9dc001_c59a_46e0_a7c4_dd9db4bd283f,Augsburg S4 Left Shell,1,5,30,1,1,168,1,1,1,2
09c7e658_6735_4531_90bc_0cf780e21dab,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,19bc042a_821e_452f_a147_7ae77ef538cf,Augsburg S4 Lower Shell,1,5,30,1,1,168,1,1,1,2
b5f6fbfd_3c3c_49d0_9d17_dd4bc61a2366,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,c0a38271_8a90_4a08_86d4_a5e831461e8c,Augsburg S4 Right Shell,1,5,30,1,1,168,1,1,1,2
01e7f5b5_7e67_4c31_a4fd_848e7572bb4e,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,5086ebda_8248_421b_9e69_d6bcc5188591,Augsburg S4 Top Shell,1,5,30,1,1,168,1,1,1,2
aec2d7fb_fbcc_4e57_a535_c971be515dc1,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,cd30834c_fb32_4465_8ff7_73c33a0c2ebf,Augsburg S5 Left Shell,1,5,30,1,1,168,1,1,1,2
14706724_08ed_4285_8031_04d7d5fa78a5,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,ec2f92f3_1c85_4d20_9bae_907b4e21e16a,Augsburg S5 Lower Shell,1,5,30,1,1,168,1,1,1,2
87129b1e_b56a_4f09_a03a_017177f60387,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,a4c92248_147a_4e21_8367_c3b9f913a5d8,Augsburg S5 Right Shell,1,5,30,1,1,168,1,1,1,2
629d4fbf_4a73_4a17_9677_c89b2542ba98,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,86a3b8d3_5958_43c1_8712_95240e57df64,Augsburg S5 Top Shell,1,5,30,1,1,168,1,1,1,2
e718c481_6708_4ece_be33_4b556f6b075c,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,8fc3796f_081a_438a_b40f_d906337783bb,Augsburg S56 Modules,1,5,30,1,1,168,1,1,1,2
d30d42b3_729f_44ac_b948_eee6ec400f9b,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,9fae5e64_78d2_44a2_a40e_762965fcbd4c,Augsburg S6 Lower Shell,1,5,30,1,1,168,1,1,1,2
260401e8_ab31_4537_9ac7_22ed97e3e76f,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,74bb6719_1573_4196_9b57_2122b6f27365,Augsburg S6 Upper Shell,1,5,30,1,1,168,1,1,1,2
43da16ca_321e_429b_90d5_1325f3385518,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,91e81215_5fed_40a1_bb1e_92f1cc74c967,Augsburg Section 2,1,5,30,1,1,168,1,1,1,5
74f30f47_3a68_46b4_b661_f330c0e1e84c,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,4703c740_ad2b_4b53_b472_8648aa9873b7,Augsburg Section 234,1,5,30,1,1,168,1,1,1,5
6a3afc40_fa5f_4518_9082_bd6af87a7955,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,11ae1deb_194b_4bb2_b8bc_f860d5d90238,Augsburg Section 3,1,5,30,1,1,168,1,1,1,5
48e3e76d_8d2b_45b5_9417_c4a81b6b7fe1,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,e138aee8_ddcb_4849_b7c3_fbbd08448745,Augsburg Section 4,1,5,30,1,1,168,1,1,1,5
e9f9662f_852d_411f_ac46_bc01c73085d8,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,01480973_ec50_4293_ad93_d62285fd5b62,Augsburg Section 5,1,5,30,1,1,168,1,1,1,5
d20d3da6_f6d0_4adb_b0b4_d4072ce2b226,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,c1ead980_7709_4e21_b183_b229044a4643,Augsburg Section 56,1,5,30,1,1,168,1,1,1,5
082bf71d_a9b4_48d6_90f0_63ff2c108b8a,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,d2477294_9f95_438e_8228_4ca957aa70e1,Augsburg Section 6,1,5,30,1,1,168,1,1,1,5
f504a721_3743_4c13_99a0_88742329c927,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,fb3b1814_469e_4920_8bfc_6463034eaa90,Augsburg Sharklet Left,1,5,30,1,1,168,1,1,1,2
97331bb2_6905_4314_8eb7_5408eed34c3b,abf99345_ff11_43e7_8338_7720e5023ef2,79e19580_726f_4a98_9c8c_aaaf5b57b3ff,bb4ed4f1_acc5_4ebe_a19c_91d4bc8edef5,Augsburg Sharklet Right,1,5,30,1,1,168,1,1,1,2
db651263_350c_439b_838d_c498bed1a2ea,a8d04bb8_c4d3_4fa2_b855_699b35c384f3,dc0c054c_48f7_46d2_8890_160e6858151c,2914b40c_16ea_4d18_a851_f1e7c365a9aa,Belfast Wing Left,1,5,30,1,1.2,168,1,1,1,2
90692dfe_363e_4eaa_b180_779eb6a01425,a8d04bb8_c4d3_4fa2_b855_699b35c384f3,dc0c054c_48f7_46d2_8890_160e6858151c,8a6e425b_2ce4_4ca4_9ca7_254958d7c966,Belfast Wing Right,1,5,30,1,1.2,168,1,1,1,2
14f2e06a_7d3a_4797_a6af_a9342c25f09d,06978fe9_6fad_4591_af18_4c3cd8fcf4a0,4df22e79_b058_46bc_ad3a_5d90ff0523a4,955db4b6_eb53_4f70_be90_a87eee27fcf3,Brasov Belly Fairing,1,5,30,1,0.7,168,1,1,1,2
1874b81e_f763_49d2_af2c_bc51455e4637,06978fe9_6fad_4591_af18_4c3cd8fcf4a0,4df22e79_b058_46bc_ad3a_5d90ff0523a4,a4b66a63_f55d_4809_9b9f_c9746badc003,Brasov Center Wingbox,1,5,30,1,0.7,168,1,1,1,2
7b7d806d_1020_40a3_b0c0_a6f6459316f7,06978fe9_6fad_4591_af18_4c3cd8fcf4a0,4df22e79_b058_46bc_ad3a_5d90ff0523a4,f581ed68_62e6_4946_af02_ed84d4ad1c13,Brasov Pylon Left,1,5,30,1,0.7,168,1,1,1,2
7a5efa11_c0eb_4a9f_89aa_dc4b4fbb0a7a,06978fe9_6fad_4591_af18_4c3cd8fcf4a0,4df22e79_b058_46bc_ad3a_5d90ff0523a4,52d8bc7c_3195_4a9e_b6c1_03c687d36794,Brasov Pylon Right,1,5,30,1,0.7,168,1,1,1,2
cadeb6d4_115d_4357_ace9_d44fef657fba,06978fe9_6fad_4591_af18_4c3cd8fcf4a0,4df22e79_b058_46bc_ad3a_5d90ff0523a4,d613cd61_1d3c_430b_92e8_c8529b30315e,Brasov S1 Lower Shell,1,5,30,1,0.7,168,1,1,1,2
3cc8a18e_a653_44ad_81a6_10281c137400,06978fe9_6fad_4591_af18_4c3cd8fcf4a0,4df22e79_b058_46bc_ad3a_5d90ff0523a4,1dbe71c3_de17_48e2_ab8c_78fbc2a4d6d4,Brasov S1 Modules,1,5,30,1,0.7,168,1,1,1,2
ae9e30da_530c_45ba_b26f_12d6029baa0b,06978fe9_6fad_4591_af18_4c3cd8fcf4a0,4df22e79_b058_46bc_ad3a_5d90ff0523a4,def1aa1d_ca7d_4820_98a5_cd16b7ed3632,Brasov S1 Upper Shell,1,5,30,1,0.7,168,1,1,1,2
2e20d1e8_670e_421c_9c7b_58ed6cb741e7,06978fe9_6fad_4591_af18_4c3cd8fcf4a0,4df22e79_b058_46bc_ad3a_5d90ff0523a4,f720d6ce_b29a_4e33_80d0_8423d6386743,Brasov S2 Left Shell,1,5,30,1,0.7,168,1,1,1,2
82533886_3c3a_433b_af77_94ccdafeb45f,06978fe9_6fad_4591_af18_4c3cd8fcf4a0,4df22e79_b058_46bc_ad3a_5d90ff0523a4,bdcdece2_daa9_403f_a491_9887a5345a80,Brasov S2 Lower Shell,1,5,30,1,0.7,168,1,1,1,2
7104fbd7_878d_4c4a_bea4_c0ed25241bca,06978fe9_6fad_4591_af18_4c3cd8fcf4a0,4df22e79_b058_46bc_ad3a_5d90ff0523a4,f5663589_dba2_4894_96d5_9432b2c9f6bb,Brasov S2 Right Shell,1,5,30,1,0.7,168,1,1,1,2
3fa038ad_cac1_4bbf_bf7e_7aa653c3c89b,06978fe9_6fad_4591_af18_4c3cd8fcf4a0,4df22e79_b058_46bc_ad3a_5d90ff0523a4,ec22b3fb_399e_40fc_a16f_a358a9f02ff0,Brasov S2 Top Shell,1,5,30,1,0.7,168,1,1,1,2
37021496_5f22_4649_9ea8_3627065d9973,06978fe9_6fad_4591_af18_4c3cd8fcf4a0,4df22e79_b058_46bc_ad3a_5d90ff0523a4,6b6e4fad_8ec1_476a_9954_9d94d1950142,Brasov S234 Modules,1,5,30,1,0.7,168,1,1,1,2
c3959dc3_d832_4fed_8015_199f06e01bb6,06978fe9_6fad_4591_af18_4c3cd8fcf4a0,4df22e79_b058_46bc_ad3a_5d90ff0523a4,5960a38d_1663_45ad_9bfd_64fa30081634,Brasov S3 Left Shell,1,5,30,1,0.7,168,1,1,1,2
a3416aa0_ca61_4f1a_b1b0_2b77b0b43baf,06978fe9_6fad_4591_af18_4c3cd8fcf4a0,4df22e79_b058_46bc_ad3a_5d90ff0523a4,6383eea1_bfae_4d34_8b00_001f6e794edb,Brasov S3 Lower Shell,1,5,30,1,0.7,168,1,1,1,2
37ab1806_a796_4f03_b2a2_e3bdea4a3367,06978fe9_6fad_4591_af18_4c3cd8fcf4a0,4df22e79_b058_46bc_ad3a_5d90ff0523a4,afd39515_4bca_4de2_b764_e1a10fc0252f,Brasov S3 Right Shell,1,5,30,1,0.7,168,1,1,1,2
ee568cb3_e5fa_4768_8838_291192774d30,06978fe9_6fad_4591_af18_4c3cd8fcf4a0,4df22e79_b058_46bc_ad3a_5d90ff0523a4,f8e9fd6c_448f_48cc_a1c6_b6059452eaa1,Brasov S3 Top Shell,1,5,30,1,0.7,168,1,1,1,2
42d83e3c_ad49_47f7_a60b_407f99df8118,06978fe9_6fad_4591_af18_4c3cd8fcf4a0,4df22e79_b058_46bc_ad3a_5d90ff0523a4,ad9dc001_c59a_46e0_a7c4_dd9db4bd283f,Brasov S4 Left Shell,1,5,30,1,0.7,168,1,1,1,2
0f2e181d_9057_4f1f_948a_f0b579ad96c3,06978fe9_6fad_4591_af18_4c3cd8fcf4a0,4df22e79_b058_46bc_ad3a_5d90ff0523a4,19bc042a_821e_452f_a147_7ae77ef538cf,Brasov S4 Lower Shell,1,5,30,1,0.7,168,1,1,1,2
a8f8397b_e427_4ed2_a7d0_78fe496b1419,06978fe9_6fad_4591_af18_4c3cd8fcf4a0,4df22e79_b058_46bc_ad3a_5d90ff0523a4,c0a38271_8a90_4a08_86d4_a5e831461e8c,Brasov S4 Right Shell,1,5,30,1,0.7,168,1,1,1,2
2c06a116_4a9c_41d2_890f_af0fa61b895d,06978fe9_6fad_4591_af18_4c3cd8fcf4a0,4df22e79_b058_46bc_ad3a_5d90ff0523a4,5086ebda_8248_421b_9e69_d6bcc5188591,Brasov S4 Top Shell,1,5,30,1,0.7,168,1,1,1,2
cdf74bba_e864_41fc_8c45_3be4c4dd8be6,06978fe9_6fad_4591_af18_4c3cd8fcf4a0,4df22e79_b058_46bc_ad3a_5d90ff0523a4,cd30834c_fb32_4465_8ff7_73c33a0c2ebf,Brasov S5 Left Shell,1,5,30,1,0.7,168,1,1,1,2
8f2b2a29_9b71_42fa_ae0f_6fe5cf4ff5e4,06978fe9_6fad_4591_af18_4c3cd8fcf4a0,4df22e79_b058_46bc_ad3a_5d90ff0523a4,ec2f92f3_1c85_4d20_9bae_907b4e21e16a,Brasov S5 Lower Shell,1,5,30,1,0.7,168,1,1,1,2
35c962b7_5d8f_4762_8a38_56a4ad11b372,06978fe9_6fad_4591_af18_4c3cd8fcf4a0,4df22e79_b058_46bc_ad3a_5d90ff0523a4,a4c92248_147a_4e21_8367_c3b9f913a5d8,Brasov S5 Right Shell,1,5,30,1,0.7,168,1,1,1,2
