id,sourceLocation,destinationLocation,transportationResource,name,distance
aec438b6_362c_4ef8_a446_5ea6942f72e6,d3a87320_459b_45b1_875f_6662eab0a6f5,7fbe9045_8db3_4abf_99fa_b3d9532fa6aa,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Hamburg FAL by Oversized Under Deck RoRo Ship,4864.52
de0b5090_8f19_46ba_bbb6_4b162daa95c0,d3a87320_459b_45b1_875f_6662eab0a6f5,7fbe9045_8db3_4abf_99fa_b3d9532fa6aa,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Hamburg FAL by Sea Large Container Ship,4864.52
7f62fa2d_1196_482e_a7b0_f350c09fc986,d3a87320_459b_45b1_875f_6662eab0a6f5,75247798_8935_42ae_a458_1ca7a1c694a6,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Hamburg Harbor by Oversized Under Deck RoRo Ship,4868.77
4799daaa_734f_4cc2_a26b_6c34611280e3,d3a87320_459b_45b1_875f_6662eab0a6f5,75247798_8935_42ae_a458_1ca7a1c694a6,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Hamburg Harbor by Sea Large Container Ship,4868.77
3bce633e_f0f4_4e4d_8fee_9e2764c182d7,d3a87320_459b_45b1_875f_6662eab0a6f5,dde958aa_9ba9_4b2b_b19d_5bbf8878955e,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Hamburg by Oversized Under Deck RoRo Ship,4864.52
329504f4_89a6_4a9a_adf8_f8480b387f0a,d3a87320_459b_45b1_875f_6662eab0a6f5,dde958aa_9ba9_4b2b_b19d_5bbf8878955e,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Hamburg by Sea Large Container Ship,4864.52
d366b536_0bfb_4a1e_8dda_55bbd1cadc64,d3a87320_459b_45b1_875f_6662eab0a6f5,f046a1e9_1532_4745_a970_c9f3bb3ff189,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Houston Harbor by Oversized Under Deck RoRo Ship,9655.3
a47e7281_74f1_4b98_8113_0963a51d2b4e,d3a87320_459b_45b1_875f_6662eab0a6f5,f046a1e9_1532_4745_a970_c9f3bb3ff189,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Houston Harbor by Sea Large Container Ship,9655.3
d586dce8_e96a_4f28_b9c3_02b3776bfa47,d3a87320_459b_45b1_875f_6662eab0a6f5,83c3543c_9497_4a40_87a5_50ea5926ee10,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Izmir Harbor by Oversized Under Deck RoRo Ship,2328.26
77c5cc0a_ce5c_44f7_afda_4389f78c37f6,d3a87320_459b_45b1_875f_6662eab0a6f5,83c3543c_9497_4a40_87a5_50ea5926ee10,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Izmir Harbor by Sea Large Container Ship,2328.26
4e5e47ec_b593_4e5d_9a9a_379da0e277cf,d3a87320_459b_45b1_875f_6662eab0a6f5,dbd7d3ce_be13_4d7f_8e45_fee916ef0260,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Izmit Harbor by Oversized Under Deck RoRo Ship,2684.01
180c9650_9372_4a8d_a520_8fc8a9882ea2,d3a87320_459b_45b1_875f_6662eab0a6f5,dbd7d3ce_be13_4d7f_8e45_fee916ef0260,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Izmit Harbor by Sea Large Container Ship,2684.01
89c078ad_bc81_4373_9d46_7869d81e0509,d3a87320_459b_45b1_875f_6662eab0a6f5,e861b3d9_337a_4e15_bee8_1800e84440b8,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Liverpool Harbor by Oversized Under Deck RoRo Ship,3187.6
84b25d7b_cbef_4748_8409_26bf0b556d32,d3a87320_459b_45b1_875f_6662eab0a6f5,e861b3d9_337a_4e15_bee8_1800e84440b8,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Liverpool Harbor by Sea Large Container Ship,3187.6
a60dc391_161d_4655_8c41_3d841a509e88,d3a87320_459b_45b1_875f_6662eab0a6f5,0b2fe165_e926_44dd_8bd2_f4aca2b0c488,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Marseille Harbor by Oversized Under Deck RoRo Ship,784.63
3010cceb_4905_4fe5_9fe1_fc05c0e710e9,d3a87320_459b_45b1_875f_6662eab0a6f5,0b2fe165_e926_44dd_8bd2_f4aca2b0c488,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Marseille Harbor by Sea Large Container Ship,784.63
32f0f86d_1e20_4ee2_8be0_a96477c53d2e,d3a87320_459b_45b1_875f_6662eab0a6f5,80861229_691d_41aa_ae4e_c372c311cd59,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Mersin Harbor by Oversized Under Deck RoRo Ship,2964.93
1199687e_8dba_46d8_8ff8_ccee5cb8f012,d3a87320_459b_45b1_875f_6662eab0a6f5,80861229_691d_41aa_ae4e_c372c311cd59,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Mersin Harbor by Sea Large Container Ship,2964.93
de9d67d4_fcef_4247_b4a8_57f87643f8bb,d3a87320_459b_45b1_875f_6662eab0a6f5,2bdb1395_a4f9_466d_875f_249b5de56f47,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Mobile Harbor by Oversized Under Deck RoRo Ship,9089.88
1ad8e2c0_5bd7_4788_96fd_473ea3d403e3,d3a87320_459b_45b1_875f_6662eab0a6f5,2bdb1395_a4f9_466d_875f_249b5de56f47,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Mobile Harbor by Sea Large Container Ship,9089.88
a96d6066_0d0f_4b53_b80c_8b572d64b3a0,d3a87320_459b_45b1_875f_6662eab0a6f5,0ddf14ce_c955_4918_882c_85a80bbed6e2,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Montoir Harbor by Oversized Under Deck RoRo Ship,2626
cdaf20cf_0c1e_4191_85cf_7cdd8e6aef9a,d3a87320_459b_45b1_875f_6662eab0a6f5,0ddf14ce_c955_4918_882c_85a80bbed6e2,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Montoir Harbor by Sea Large Container Ship,2626
7a64502e_0fa2_4b6d_bdcf_9bcc9cfa70d4,d3a87320_459b_45b1_875f_6662eab0a6f5,6e6521b1_db07_47cc_a228_888b85ef5a20,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Montreal Harbor by Oversized Under Deck RoRo Ship,7572.48
829659ed_9873_4b17_88d0_1474e68f24e8,d3a87320_459b_45b1_875f_6662eab0a6f5,6e6521b1_db07_47cc_a228_888b85ef5a20,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Montreal Harbor by Sea Large Container Ship,7572.48
44eb33e0_f68b_4782_9fb9_cb26d085cbb7,d3a87320_459b_45b1_875f_6662eab0a6f5,06d37e07_9949_489a_aadb_efe33049c442,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Naples Harbor by Oversized Under Deck RoRo Ship,1126.93
89fe41b8_b52b_4470_a137_fed1c1ebac59,d3a87320_459b_45b1_875f_6662eab0a6f5,06d37e07_9949_489a_aadb_efe33049c442,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Naples Harbor by Sea Large Container Ship,1126.93
9012edb1_2648_4adb_b2b8_4869e1d57a61,d3a87320_459b_45b1_875f_6662eab0a6f5,2a015e49_a51a_4a9d_b16d_3a0334996abe,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Nordenham by Oversized Under Deck RoRo Ship,4785.1
499804ae_ca76_4462_a9f9_258785616028,d3a87320_459b_45b1_875f_6662eab0a6f5,2a015e49_a51a_4a9d_b16d_3a0334996abe,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Nordenham by Sea Large Container Ship,4785.1
4ada1894_cad3_4603_830e_11522c2b94e6,d3a87320_459b_45b1_875f_6662eab0a6f5,b450b244_96dc_4df9_8549_a42bc39d57b8,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Porto Harbor by Oversized Under Deck RoRo Ship,1665.1
23fd2d0d_6d79_45ea_a167_e9fe6a5416f7,d3a87320_459b_45b1_875f_6662eab0a6f5,b450b244_96dc_4df9_8549_a42bc39d57b8,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Porto Harbor by Sea Large Container Ship,1665.1
91cc90b7_ac5a_4074_95e8_84e1e91acff7,d3a87320_459b_45b1_875f_6662eab0a6f5,48079a1b_92ea_4749_a202_a174dfb7cc89,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Puerto Real by Sea Large Container Ship,935.28
af094750_ef83_4b32_800f_d3b8de5fad6f,d3a87320_459b_45b1_875f_6662eab0a6f5,ad594742_2551_449e_b759_d45fb4c9a4a0,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Rostock by Oversized Under Deck RoRo Ship,5052.31
d949a4ba_90f6_4541_bf80_4fe739f91dd1,d3a87320_459b_45b1_875f_6662eab0a6f5,ad594742_2551_449e_b759_d45fb4c9a4a0,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Rostock by Sea Large Container Ship,5052.31
281d2d27_ad6f_42d7_bef6_5db6e59d53b7,d3a87320_459b_45b1_875f_6662eab0a6f5,9290dfab_bc6b_41f2_863e_ff9794d38947,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Rotterdam Harbor by Oversized Under Deck RoRo Ship,4807.46
0ff933c5_f883_471f_a488_d4f9395793f3,d3a87320_459b_45b1_875f_6662eab0a6f5,9290dfab_bc6b_41f2_863e_ff9794d38947,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Rotterdam Harbor by Sea Large Container Ship,4807.46
a70ae967_cc44_43bf_8b01_c1e366de4e92,d3a87320_459b_45b1_875f_6662eab0a6f5,cb53cf91_123f_479e_9c26_3a41530b9f31,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Sacheon Harbor by Oversized Under Deck RoRo Ship,25079.08
1965cfbe_dc15_412b_9040_7aea6c0b7b75,d3a87320_459b_45b1_875f_6662eab0a6f5,cb53cf91_123f_479e_9c26_3a41530b9f31,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Sacheon Harbor by Sea Large Container Ship,25079.08
6b5d108b_abe5_409c_bef6_fd84fddee0e4,d3a87320_459b_45b1_875f_6662eab0a6f5,fa813822_208f_4274_9b46_b361d3696214,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Savanna Harbor by Oversized Under Deck RoRo Ship,7682.57
10af6921_c9e1_4e66_9df1_6f17a6be7262,d3a87320_459b_45b1_875f_6662eab0a6f5,fa813822_208f_4274_9b46_b361d3696214,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Savanna Harbor by Sea Large Container Ship,7682.57
e9ce3803_c9e2_4a7e_8287_d905d60e27a9,d3a87320_459b_45b1_875f_6662eab0a6f5,6cb3fb85_90f1_4f1e_83bc_3089bbdab639,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Shanghai Harbor by Oversized Under Deck RoRo Ship,24393.27
6f9bae1a_27f9_4d2c_a42a_e31d01861317,d3a87320_459b_45b1_875f_6662eab0a6f5,6cb3fb85_90f1_4f1e_83bc_3089bbdab639,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Shanghai Harbor by Sea Large Container Ship,24393.27
8a856621_9465_4c16_9337_d4059e994293,d3a87320_459b_45b1_875f_6662eab0a6f5,2b951503_66de_4687_a3e4_d480652eacd6,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Southampton Harbor by Oversized Under Deck RoRo Ship,2975.28
d7173d77_3371_48ff_a05c_99768d060260,d3a87320_459b_45b1_875f_6662eab0a6f5,2b951503_66de_4687_a3e4_d480652eacd6,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Southampton Harbor by Sea Large Container Ship,2975.28
60f14196_6edd_498a_9d6d_3d123daf9ac3,d3a87320_459b_45b1_875f_6662eab0a6f5,d16190e8_9f73_4c20_8ade_0385f207430b,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to St. Nazaire by Oversized Under Deck RoRo Ship,2626
07a4fd30_c9cd_4c55_8e2e_e6905b75aa98,d3a87320_459b_45b1_875f_6662eab0a6f5,d16190e8_9f73_4c20_8ade_0385f207430b,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to St. Nazaire by Sea Large Container Ship,2626
9af75807_ce4b_44a3_bd14_243b932319dc,d3a87320_459b_45b1_875f_6662eab0a6f5,6c05a0f4_b670_4b4b_9aeb_f27b6af62e63,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Taichung Harbor by Oversized Under Deck RoRo Ship,23712.16
7d32a983_dc0d_43bf_89ef_58cc42d2a900,d3a87320_459b_45b1_875f_6662eab0a6f5,6c05a0f4_b670_4b4b_9aeb_f27b6af62e63,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Taichung Harbor by Sea Large Container Ship,23712.16
f92cdd2f_a75a_496a_a09d_85feaf0e482c,d3a87320_459b_45b1_875f_6662eab0a6f5,b8dc1607_abbb_4989_bcbe_e01b2eb387c6,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Tianjin Harbor by Oversized Under Deck RoRo Ship,25637.15
027224ca_13f3_440c_a283_c95179c633a6,d3a87320_459b_45b1_875f_6662eab0a6f5,b8dc1607_abbb_4989_bcbe_e01b2eb387c6,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Tianjin Harbor by Sea Large Container Ship,25637.15
f3cff9bd_f57d_47b8_a19e_41273f9c763f,d3a87320_459b_45b1_875f_6662eab0a6f5,97cc22d4_8803_4507_b770_93acf1752299,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Trieste Harbor by Oversized Under Deck RoRo Ship,2373.05
54de5964_eb4e_47f9_9f4f_7a58ef296fb3,d3a87320_459b_45b1_875f_6662eab0a6f5,97cc22d4_8803_4507_b770_93acf1752299,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Trieste Harbor by Sea Large Container Ship,2373.05
ebc44720_7395_4f83_bc51_0829304b84d3,d3a87320_459b_45b1_875f_6662eab0a6f5,6bf1763d_9e4e_4308_aea7_a038a1f1d65d,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Valencia Harbor by Oversized Under Deck RoRo Ship,441.52
4c648fa7_e761_4b82_ba71_e4601c7e2e6a,d3a87320_459b_45b1_875f_6662eab0a6f5,6bf1763d_9e4e_4308_aea7_a038a1f1d65d,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Valencia Harbor by Sea Large Container Ship,441.52
853dc28b_92e7_4cc5_a5a9_5656d6d64a8c,d3a87320_459b_45b1_875f_6662eab0a6f5,1ed3eef5_8e13_4411_aa3e_22eb56618cb3,fe4de180_4453_402c_a2f9_110777b278fa,Algiers Harbor to Ville de Deroua by Truck Oversized Standard Bed,1379.67
277276a9_3d7a_4190_8326_549391384afc,33773103_576d_41c8_912e_cfc3802ff34f,d3a87320_459b_45b1_875f_6662eab0a6f5,4c64b530_fed0_495d_ac8a_05ea7588071c,Algiers to Algiers Harbor by Truck Long Distance,20.69
6897d9a5_8561_4c1e_81ef_e1fa1469d51c,33773103_576d_41c8_912e_cfc3802ff34f,d3a87320_459b_45b1_875f_6662eab0a6f5,fe4de180_4453_402c_a2f9_110777b278fa,Algiers to Algiers Harbor by Truck Oversized Standard Bed,20.69
b0538d07_c9c0_4568_be67_d5f7bdd3069f,33773103_576d_41c8_912e_cfc3802ff34f,d3a87320_459b_45b1_875f_6662eab0a6f5,578a835b_900c_438b_bd24_206240ec8e75,Algiers to Algiers Harbor by Truck Short Distance,20.69
6b858fb5_23b9_4a18_9a0b_121f1eebf979,33773103_576d_41c8_912e_cfc3802ff34f,ca1ae553_e8bd_46ee_b467_98af1b1d4b90,fe4de180_4453_402c_a2f9_110777b278fa,Algiers to Casablanca Harbor by Truck Oversized Standard Bed,1384.58
32213ba8_170e_49b1_bdb8_64e9c53b0b7f,33773103_576d_41c8_912e_cfc3802ff34f,1ed3eef5_8e13_4411_aa3e_22eb56618cb3,fe4de180_4453_402c_a2f9_110777b278fa,Algiers to Ville de Deroua by Truck Oversized Standard Bed,1399.45
e58d9248_9e3d_43e7_b39b_3a93ec4ed52e,abf99345_ff11_43e7_8338_7720e5023ef2,06978fe9_6fad_4591_af18_4c3cd8fcf4a0,c0b0e492_d453_4421_8b88_a157bdee5b02,Augsburg to Brasov by Truck General Cargo,1401.75
80c6f709_d105_42f0_80d4_1b751906daef,abf99345_ff11_43e7_8338_7720e5023ef2,06978fe9_6fad_4591_af18_4c3cd8fcf4a0,4c64b530_fed0_495d_ac8a_05ea7588071c,Augsburg to Brasov by Truck Long Distance,1401.75
b7f438f1_cf42_4de4_b3d5_d9aec447443b,abf99345_ff11_43e7_8338_7720e5023ef2,06978fe9_6fad_4591_af18_4c3cd8fcf4a0,45918dea_722e_4bd0_9662_fdf0d6343191,Augsburg to Brasov by Truck Oversized Low Bed,1401.75
2952d0d6_afe8_45eb_a927_cf33c1bb3763,abf99345_ff11_43e7_8338_7720e5023ef2,06978fe9_6fad_4591_af18_4c3cd8fcf4a0,fe4de180_4453_402c_a2f9_110777b278fa,Augsburg to Brasov by Truck Oversized Standard Bed,1401.75
1b514fc3_0a3a_4cfd_87df_6c8530f56c3d,abf99345_ff11_43e7_8338_7720e5023ef2,d6b516cc_f667_415e_92f2_35f52c61fa0f,c0b0e492_d453_4421_8b88_a157bdee5b02,Augsburg to Bremen by Truck General Cargo,665
caf00fe0_4282_4082_b6db_d337bdc0e768,abf99345_ff11_43e7_8338_7720e5023ef2,d6b516cc_f667_415e_92f2_35f52c61fa0f,4c64b530_fed0_495d_ac8a_05ea7588071c,Augsburg to Bremen by Truck Long Distance,665
ac548b26_0e09_40ec_a380_799fc72f032f,abf99345_ff11_43e7_8338_7720e5023ef2,d6b516cc_f667_415e_92f2_35f52c61fa0f,45918dea_722e_4bd0_9662_fdf0d6343191,Augsburg to Bremen by Truck Oversized Low Bed,665
c049aa36_2ef1_478b_96ed_223f0628709a,abf99345_ff11_43e7_8338_7720e5023ef2,d6b516cc_f667_415e_92f2_35f52c61fa0f,fe4de180_4453_402c_a2f9_110777b278fa,Augsburg to Bremen by Truck Oversized Standard Bed,665
d5c0d3d7_181e_4305_9962_80dc77374feb,abf99345_ff11_43e7_8338_7720e5023ef2,486b629b_4da8_491f_88b2_c7c98f3d5003,c0b0e492_d453_4421_8b88_a157bdee5b02,Augsburg to Dunkerque Harbor by Truck General Cargo,823.29
85aab8f1_b994_421f_98e0_a4cbea536d49,abf99345_ff11_43e7_8338_7720e5023ef2,486b629b_4da8_491f_88b2_c7c98f3d5003,4c64b530_fed0_495d_ac8a_05ea7588071c,Augsburg to Dunkerque Harbor by Truck Long Distance,823.29
f124794a_5227_467f_8ba8_d1ae72f1f5e5,abf99345_ff11_43e7_8338_7720e5023ef2,486b629b_4da8_491f_88b2_c7c98f3d5003,45918dea_722e_4bd0_9662_fdf0d6343191,Augsburg to Dunkerque Harbor by Truck Oversized Low Bed,823.29
df884148_1913_4239_b49d_3f960bbbd59a,abf99345_ff11_43e7_8338_7720e5023ef2,486b629b_4da8_491f_88b2_c7c98f3d5003,fe4de180_4453_402c_a2f9_110777b278fa,Augsburg to Dunkerque Harbor by Truck Oversized Standard Bed,823.29
35bd9c09_7bc8_46f0_be78_6d6a1cfebc5a,abf99345_ff11_43e7_8338_7720e5023ef2,7bc864f3_7285_4abd_9a08_8be520997eab,c0b0e492_d453_4421_8b88_a157bdee5b02,Augsburg to Gdansk by Truck General Cargo,1110.05
92d43cad_2eb3_4b21_bd54_65ad64657987,abf99345_ff11_43e7_8338_7720e5023ef2,7bc864f3_7285_4abd_9a08_8be520997eab,4c64b530_fed0_495d_ac8a_05ea7588071c,Augsburg to Gdansk by Truck Long Distance,1110.05
6981855f_8c34_4f0a_99ae_191c0b9843f3,abf99345_ff11_43e7_8338_7720e5023ef2,7bc864f3_7285_4abd_9a08_8be520997eab,45918dea_722e_4bd0_9662_fdf0d6343191,Augsburg to Gdansk by Truck Oversized Low Bed,1110.05
0f27d409_68e7_4d40_a87e_fd8ca54b4167,abf99345_ff11_43e7_8338_7720e5023ef2,7bc864f3_7285_4abd_9a08_8be520997eab,fe4de180_4453_402c_a2f9_110777b278fa,Augsburg to Gdansk by Truck Oversized Standard Bed,1110.05
eec3b307_741b_452d_95af_e5fff0be11c8,abf99345_ff11_43e7_8338_7720e5023ef2,acd47de8_0f7f_48c8_8060_ba7c19038d47,c0b0e492_d453_4421_8b88_a157bdee5b02,Augsburg to Getafe by Truck General Cargo,1868.43
5a6b255e_f692_4ced_82a0_7ca85ce4b982,abf99345_ff11_43e7_8338_7720e5023ef2,acd47de8_0f7f_48c8_8060_ba7c19038d47,4c64b530_fed0_495d_ac8a_05ea7588071c,Augsburg to Getafe by Truck Long Distance,1868.43
7e707d57_f068_40d0_b7b8_420807ff13dd,abf99345_ff11_43e7_8338_7720e5023ef2,acd47de8_0f7f_48c8_8060_ba7c19038d47,45918dea_722e_4bd0_9662_fdf0d6343191,Augsburg to Getafe by Truck Oversized Low Bed,1868.43
7eefe5dc_d764_4546_b566_e6b32ab63b97,abf99345_ff11_43e7_8338_7720e5023ef2,acd47de8_0f7f_48c8_8060_ba7c19038d47,fe4de180_4453_402c_a2f9_110777b278fa,Augsburg to Getafe by Truck Oversized Standard Bed,1868.43
28409199_3212_4df4_b8f5_afd2bc4e6db9,abf99345_ff11_43e7_8338_7720e5023ef2,82d813be_ea4d_4eac_ad12_0dc0c60d83f5,c0b0e492_d453_4421_8b88_a157bdee5b02,Augsburg to Gibraltar Harbor by Truck General Cargo,2334.11
0e76840e_5d9c_490a_9fe5_c67c636661c9,abf99345_ff11_43e7_8338_7720e5023ef2,82d813be_ea4d_4eac_ad12_0dc0c60d83f5,4c64b530_fed0_495d_ac8a_05ea7588071c,Augsburg to Gibraltar Harbor by Truck Long Distance,2334.11
2206707e_441e_4917_a40f_5713ac5389d2,abf99345_ff11_43e7_8338_7720e5023ef2,82d813be_ea4d_4eac_ad12_0dc0c60d83f5,45918dea_722e_4bd0_9662_fdf0d6343191,Augsburg to Gibraltar Harbor by Truck Oversized Low Bed,2334.11
33ad2f97_b74a_496a_a81f_c515b48caeb6,abf99345_ff11_43e7_8338_7720e5023ef2,82d813be_ea4d_4eac_ad12_0dc0c60d83f5,fe4de180_4453_402c_a2f9_110777b278fa,Augsburg to Gibraltar Harbor by Truck Oversized Standard Bed,2334.11
120d2166_0302_460d_869a_4f9dca7d742d,abf99345_ff11_43e7_8338_7720e5023ef2,60845a2a_07fd_496c_b3b7_dc1423d0ab18,c0b0e492_d453_4421_8b88_a157bdee5b02,Augsburg to Gruenendeich Harbor by Truck General Cargo,714.93
